index,price,direction,structure_state,zone_status,zone_type,zone_direction,zone_lifecycle,zone_low,zone_high,interacting,location_quality,trigger_status,trigger_source,trigger_direction,trigger_lifecycle,trigger_age,trigger_freshness,trigger_fresh,location_valid,selected_zone_match,readiness
220,64223.36,NEUTRAL,UNDEFINED,AVAILABLE,ORDER_BLOCK,BULLISH,CONFIRMED,63764.0,63890.01,True,INTERACTING,AWAITING_DIRECTION,ORDER_BLOCK,BULLISH,CONFIRMED,0,FRESH,True,False,False,NO_DIRECTION
221,64152.9,NEUTRAL,UNDEFINED,AVAILABLE,FVG,BULLISH,PARTIAL_FILL,64082.0,64149.97,True,INTERACTING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,NO_DIRECTION
222,64176.0,NEUTRAL,UNDEFINED,AVAILABLE,ORDER_BLOCK,BULLISH,CONFIRMED,63764.0,63890.01,True,INTERACTING,AWAITING_DIRECTION,ORDER_BLOCK,BULLISH,CONFIRMED,0,FRESH,True,False,False,NO_DIRECTION
223,64061.23,NEUTRAL,UNDEFINED,AVAILABLE,FVG,BULLISH,PARTIAL_FILL,63998.11,64070.0,True,INTERACTING,AWAITING_DIRECTION,LIQUIDITY,BEARISH,CONFIRMED,0,FRESH,True,False,False,NO_DIRECTION
224,64176.77,NEUTRAL,UNDEFINED,AVAILABLE,ORDER_BLOCK,BULLISH,CONFIRMED,63764.0,63890.01,True,INTERACTING,AWAITING_DIRECTION,ORDER_BLOCK,BULLISH,CONFIRMED,0,FRESH,True,False,False,NO_DIRECTION
225,64119.51,BULLISH,PROTECTED,AVAILABLE,FVG,BULLISH,PARTIAL_FILL,63998.11,64070.0,False,APPROACHING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,APPROACHING
226,64177.7,BULLISH,PROTECTED,AVAILABLE,ORDER_BLOCK,BULLISH,CONFIRMED,63764.0,63890.01,True,INTERACTING,CONFIRMED,ORDER_BLOCK,BULLISH,CONFIRMED,0,FRESH,True,True,True,CONFIRMED
227,64140.8,BULLISH,PROTECTED,AVAILABLE,FVG,BULLISH,PARTIAL_FILL,63998.11,64070.0,False,APPROACHING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,APPROACHING
228,64132.78,BULLISH,PROTECTED,AVAILABLE,FVG,BULLISH,PARTIAL_FILL,63998.11,64070.0,False,NEAR,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,APPROACHING
229,64162.12,BULLISH,PROTECTED,AVAILABLE,ORDER_BLOCK,BULLISH,CONFIRMED,63764.0,63890.01,True,INTERACTING,CONFIRMED,ORDER_BLOCK,BULLISH,CONFIRMED,0,FRESH,True,True,True,CONFIRMED
