Date,Time,Symbol,Direction,Entry,StopLoss,TP1,AI Score,Confidence,Probability
2026-07-05,00:38:56,BTCUSDT,🟢 STRONG BUY,63219.99,63008.86,63431.12,27,A,88
2026-07-05,00:54:05,BTCUSDT,🟢 STRONG BUY,63316.0,63099.85,63532.15,25,A,88
2026-07-05,01:02:35,BTCUSDT,🟢 STRONG BUY,63356.55,63148.04,63565.06,20,B,80
2026-07-05,01:06:57,BTCUSDT,🟢 STRONG BUY,63316.31,63096.82,63535.8,20,B,80
2026-07-05,01:19:50,BTCUSDT,🟢 STRONG BUY,63308.01,63087.56,63528.46,23,A,86
2026-07-05,08:36:07,BTCUSDT,🟢 BUY,62754.0,62566.66,62941.34,19,B,68
2026-07-05,08:44:36,BTCUSDT,🟢 BUY,62779.98,62589.86,62970.1,16,B,62
2026-07-05,08:56:15,BTCUSDT,🟢 STRONG BUY,62700.0,62507.88,62892.12,23,A,76
2026-07-06,16:14:38,BTCUSDT,🟢 BUY,62926.78,62799.46,63054.1,5,B,75
2026-07-06,16:23:58,BTCUSDT,🟢 BUY,62840.0,62710.53,62969.47,5,B,75
2026-07-06,16:34:04,BTCUSDT,🟢 BUY,62870.0,62749.24,62990.76,5,B,75
2026-07-07,00:51:34,BTCUSDT,BUY,63820.01,63590.31,64049.71,9,A,87
